2023-12-16 01:28:25,157 INFO    MainThread:133307 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-12-16 01:41:15,968 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Batch size 256 None
2023-12-16 01:41:15,969 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Number of workers = 8 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,969 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Number of workers 8 None
2023-12-16 01:41:15,969 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Learning rate = 0.2 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,969 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Learning rate 0.2 None
2023-12-16 01:41:15,970 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Weight decay = 1e-06 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,970 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Weight decay 1e-06 None
2023-12-16 01:41:15,970 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Number of epochs = 5 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,970 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Number of epochs 5 None
2023-12-16 01:41:15,971 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Model parameters = {'num_node_features': 9, 'num_edge_features': 3, 'hidden_channels': [64, 128, 128, 512, 512, 512], 'batch_norm': True, 'dropout': True, 'p': 0.1} - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,971 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Model parameters {'num_node_features': 9, 'num_edge_features': 3, 'hidden_channels': [64, 128, 128, 512, 512, 512], 'batch_norm': True, 'dropout': True, 'p': 0.1} None
2023-12-16 01:41:15,972 INFO    MainThread:133307 [wandb_config.py:__setitem__():151] config set Dropout = True - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b90d3e7a890>>
2023-12-16 01:41:15,972 INFO    MainThread:133307 [wandb_run.py:_config_callback():1324] config_cb Dropout True None
2023-12-16 01:41:15,975 INFO    MainThread:133307 [wandb_run.py:_finish():1934] finishing run xmootoo/Test_Bay/356cpe3o
2023-12-16 01:41:15,975 INFO    MainThread:133307 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 0
2023-12-16 01:41:15,976 INFO    MainThread:133307 [wandb_run.py:_restore():2151] restore
2023-12-16 01:41:15,976 INFO    MainThread:133307 [wandb_run.py:_restore():2157] restore done
2023-12-16 01:41:20,960 INFO    MainThread:133307 [wandb_run.py:_footer_history_summary_info():3599] rendering history
2023-12-16 01:41:20,961 INFO    MainThread:133307 [wandb_run.py:_footer_history_summary_info():3631] rendering summary
2023-12-16 01:41:20,967 INFO    MainThread:133307 [wandb_run.py:_footer_sync_info():3558] logging synced files
